x_upper,Cp_upper,x_lower,Cp_lower
0.0,1.0431110750823707,0.0,1.037301884698876
0.0035626000000000004,0.638662926170669,0.0043123,0.12044031122277907
0.0133331,0.4070181133209897,0.0147147,-0.1814501954807727
0.0366108,-0.009985382548587817,0.039247899999999995,-0.2253002132142495
0.072922,-0.23247469719017858,0.07795060000000001,-0.21954456375594822
0.1135604,-0.31661426113176433,0.120143,-0.2008587808634166
0.1559135,-0.33891405647485723,0.1632276,-0.18305642323657773
0.1991328,-0.3862442343459116,0.2067013,-0.16412970618067535
0.2428443,-0.39430214358753335,0.2503792,-0.1531805869786045
0.2868627,-0.3953461916288067,0.2941554,-0.14340936813079072
0.33105179999999995,-0.35730536427882464,0.3379772,-0.13283503540507438
0.3753128,-0.37658009734848474,0.3818675,-0.12325120979543783
0.4195991,-0.36528296213265615,0.42575270000000004,-0.11447049806370375
0.4638793,-0.33674564900452053,0.46962780000000004,-0.10298596960969794
0.508156,-0.30025750848515,0.5135062,-0.09251871873436862
0.552486,-0.27099739286690205,0.5573662,-0.08028461732765378
0.5969223,-0.23367936800703232,0.6012075,-0.06588210845060219
0.6413685,-0.2083812808531034,0.6450502,-0.04874901238868208
0.6857899999999999,-0.18792864742918627,0.688901,-0.029447508856425195
0.7302401000000001,-0.17213407449710363,0.7328011,-0.011832544467763578
0.7747356999999999,-0.0665245995529242,0.7767783,0.0072280249011225485
0.8193114,0.03241903020466447,0.8207965,0.021416370077400142
0.8638589,0.07265503548757998,0.8647978000000001,0.03276704621842222
0.908108,0.1132122863216565,1.0,0.11291781123309226
1.0,0.11291781123309226,,
