x_upper,Cp_upper,x_lower,Cp_lower
0.0,0.300792917737085,0.0,0.297473380375088
0.0035626000000000004,0.8612057817374532,0.0043123,-1.3757608433095883
0.0133331,0.8328023209223012,0.0147147,-1.039523833094406
0.0366108,0.40956130726768103,0.039247899999999995,-0.7543916359764201
0.072922,0.10263795359594019,0.07795060000000001,-0.5782955330149974
0.1135604,-0.024789448364590665,0.120143,-0.4741048925884457
0.1559135,-0.09187622763204661,0.1632276,-0.40902589801574596
0.1991328,-0.1790408538470652,0.2067013,-0.35227251731063564
0.2428443,-0.21282517764416392,0.2503792,-0.31814017749977913
0.2868627,-0.22687967050745778,0.2941554,-0.2880501775410319
0.33105179999999995,-0.21199529330366465,0.3379772,-0.2616277309580395
0.3753128,-0.2489385316871799,0.3818675,-0.2376146260087546
0.4195991,-0.25348951032862743,0.42575270000000004,-0.20942532889437665
0.4638793,-0.23774847832173834,0.46962780000000004,-0.1811289499296117
0.508156,-0.21378891429764693,0.5135062,-0.15537576491153804
0.552486,-0.19025767767510351,0.5573662,-0.13591363860370068
0.5969223,-0.16016767771635632,0.6012075,-0.11492559592784851
0.6413685,-0.13224608522794587,0.6450502,-0.09227778457099786
0.6857899999999999,-0.1063322774342917,0.688901,-0.0657750266002152
0.7302401000000001,-0.08269395896136131,0.7328011,-0.037906975036998254
0.7747356999999999,-0.06850561378508371,0.7767783,-0.00455097864144753
0.8193114,-0.04904348747724633,0.8207965,0.030036459033553703
0.8638589,0.05766357643339989,0.8647978000000001,0.06751510666900395
0.908108,0.12464327385046883,1.0,0.07522499989686801
1.0,0.07522499989686801,,
